*** Failures ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
 3075 MHz |  224 | -67 dBm | -30 dBm | fbf_2
 3525 MHz |   77 | -67 dBm | -30 dBm | fbf_2
 3775 MHz |  137 | -67 dBm | -30 dBm | fbf_2
 3850 MHz |  269 | -67 dBm | -30 dBm | fbf_2
 3875 MHz |  399 | -67 dBm | -30 dBm | fbf_2
 4075 MHz |   23 | -67 dBm | -30 dBm | fbf_2
 4125 MHz |  232 | -67 dBm | -30 dBm | fbf_2
 4500 MHz |   20 | -67 dBm | -30 dBm | fbf_2
 4725 MHz |  180 | -67 dBm | -30 dBm | fbf_2
 5075 MHz |  310 | -67 dBm | -30 dBm | fbf_2
 5100 MHz |  387 | -67 dBm | -30 dBm | fbf_2
 5300 MHz |  224 | -67 dBm | -30 dBm | fbf_2
 5550 MHz |  133 | -67 dBm | -30 dBm | fbf_2
 6575 MHz |  451 | -67 dBm | -30 dBm | fbf_2
 6625 MHz |   79 | -67 dBm | -30 dBm | fbf_2
 6725 MHz |   41 | -67 dBm | -30 dBm | fbf_2
 6775 MHz |  236 | -67 dBm | -30 dBm | fbf_2
 7525 MHz |  171 | -67 dBm | -30 dBm | fbf_2
 7900 MHz |  295 | -67 dBm | -30 dBm | fbf_2
 7925 MHz |  430 | -67 dBm | -30 dBm | fbf_2
 8100 MHz |   14 | -67 dBm | -30 dBm | fbf_2
 8825 MHz |  416 | -67 dBm | -30 dBm | fbf_2
 8875 MHz |  321 | -67 dBm | -30 dBm | fbf_2
 8925 MHz |    8 | -67 dBm | -30 dBm | fbf_2
 9350 MHz |    5 | -67 dBm | -30 dBm | fbf_2
 9400 MHz |  305 | -67 dBm | -30 dBm | fbf_2
 9700 MHz |  261 | -67 dBm | -30 dBm | fbf_2
 9800 MHz |  391 | -67 dBm | -30 dBm | fbf_2
 9825 MHz |  400 | -67 dBm | -30 dBm | fbf_2
10100 MHz |  353 | -67 dBm | -30 dBm | fbf_2
10500 MHz |  276 | -67 dBm | -30 dBm | fbf_2
10550 MHz |  426 | -67 dBm | -30 dBm | fbf_2
10625 MHz |  297 | -67 dBm | -30 dBm | fbf_2
10800 MHz |  204 | -67 dBm | -30 dBm | fbf_2
11450 MHz |  367 | -67 dBm | -30 dBm | fbf_2
11600 MHz |  311 | -67 dBm | -30 dBm | fbf_2
11850 MHz |  449 | -67 dBm | -30 dBm | fbf_2
11975 MHz |  384 | -67 dBm | -30 dBm | fbf_2
12150 MHz |  218 | -67 dBm | -30 dBm | fbf_2
12200 MHz |  256 | -67 dBm | -30 dBm | fbf_2
12600 MHz |  449 | -67 dBm | -30 dBm | fbf_2


*** Warnings ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
   60 MHz |   59 | -67 dBm | -30 dBm | fbf_1
   90 MHz |  352 | -67 dBm | -30 dBm | fbf_1
  110 MHz |  124 | -67 dBm | -30 dBm | fbf_1
  130 MHz |  385 | -67 dBm | -30 dBm | fbf_1
  250 MHz |  247 | -67 dBm | -30 dBm | fbf_1
  400 MHz |   67 | -67 dBm | -30 dBm | fbf_1
  410 MHz |  234 | -67 dBm | -30 dBm | fbf_1
  420 MHz |  452 | -67 dBm | -30 dBm | fbf_1
  430 MHz |  269 | -67 dBm | -30 dBm | fbf_1
  460 MHz |   29 | -67 dBm | -30 dBm | fbf_1
  480 MHz |  308 | -67 dBm | -30 dBm | fbf_1
  490 MHz |  360 | -67 dBm | -30 dBm | fbf_1
  530 MHz |  184 | -67 dBm | -30 dBm | fbf_1
  550 MHz |  361 | -67 dBm | -30 dBm | fbf_1
  660 MHz |   75 | -67 dBm | -30 dBm | fbf_1
  690 MHz |   19 | -67 dBm | -30 dBm | fbf_1
  720 MHz |  378 | -67 dBm | -30 dBm | fbf_1
  770 MHz |  235 | -67 dBm | -30 dBm | fbf_1
  790 MHz |   93 | -67 dBm | -30 dBm | fbf_1
  880 MHz |   72 | -67 dBm | -30 dBm | fbf_1
  900 MHz |  269 | -67 dBm | -30 dBm | fbf_1
  990 MHz |  274 | -67 dBm | -30 dBm | fbf_1
 1020 MHz |   99 | -67 dBm | -30 dBm | fbf_1
 1090 MHz |  120 | -67 dBm | -30 dBm | fbf_1
 1270 MHz |  311 | -67 dBm | -30 dBm | fbf_1
 1290 MHz |  331 | -67 dBm | -30 dBm | fbf_1
 1330 MHz |   82 | -67 dBm | -30 dBm | fbf_1
 1460 MHz |   43 | -67 dBm | -30 dBm | fbf_1
 1520 MHz |  254 | -67 dBm | -30 dBm | fbf_1
 1590 MHz |   83 | -67 dBm | -30 dBm | fbf_1
 1650 MHz |   70 | -67 dBm | -30 dBm | fbf_1
 1700 MHz |  128 | -67 dBm | -30 dBm | fbf_1
 1720 MHz |  366 | -67 dBm | -30 dBm | fbf_1
 1730 MHz |  193 | -67 dBm | -30 dBm | fbf_1
 1810 MHz |  190 | -67 dBm | -30 dBm | fbf_1
 1830 MHz |  166 | -67 dBm | -30 dBm | fbf_1
 1890 MHz |  255 | -67 dBm | -30 dBm | fbf_1
 1900 MHz |  339 | -67 dBm | -30 dBm | fbf_1
 1910 MHz |  124 | -67 dBm | -30 dBm | fbf_1
 1980 MHz |  242 | -67 dBm | -30 dBm | fbf_1
 2015 MHz |  415 | -67 dBm | -35 dBm | fbf_1
 2024 MHz |  127 | -67 dBm | -35 dBm | fbf_1
 2027 MHz |  457 | -67 dBm | -35 dBm | fbf_1
 2063 MHz |  319 | -67 dBm | -35 dBm | fbf_1
 2066 MHz |  102 | -67 dBm | -35 dBm | fbf_1
 2069 MHz |  340 | -67 dBm | -35 dBm | fbf_1
 2108 MHz |  183 | -67 dBm | -35 dBm | fbf_1
 2117 MHz |  390 | -67 dBm | -35 dBm | fbf_1
 2147 MHz |  459 | -67 dBm | -35 dBm | fbf_1
 2171 MHz |  216 | -67 dBm | -35 dBm | fbf_1
 2231 MHz |  459 | -67 dBm | -35 dBm | fbf_1
 2234 MHz |  105 | -67 dBm | -35 dBm | fbf_1
 2249 MHz |  444 | -67 dBm | -35 dBm | fbf_1
 2261 MHz |   89 | -67 dBm | -35 dBm | fbf_1
 2273 MHz |  357 | -67 dBm | -35 dBm | fbf_1
 2288 MHz |  284 | -67 dBm | -35 dBm | fbf_1
 2291 MHz |   75 | -67 dBm | -35 dBm | fbf_1
 2300 MHz |  127 | -67 dBm | -35 dBm | fbf_1
 2339 MHz |   12 | -67 dBm | -35 dBm | fbf_1
 2345 MHz |  350 | -67 dBm | -35 dBm | fbf_1
 2363 MHz |  366 | -67 dBm | -35 dBm | fbf_1
 2390 MHz |  120 | -67 dBm | -35 dBm | fbf_1
 2399 MHz |  293 | -67 dBm | -35 dBm | fbf_1
 2508 MHz |  241 | -67 dBm | -35 dBm | fbf_1
 2538 MHz |  179 | -67 dBm | -35 dBm | fbf_1
 2568 MHz |  306 | -67 dBm | -35 dBm | fbf_1
 2580 MHz |  295 | -67 dBm | -35 dBm | fbf_1
 2586 MHz |  159 | -67 dBm | -35 dBm | fbf_1
 2589 MHz |  221 | -67 dBm | -35 dBm | fbf_1
 2601 MHz |   49 | -67 dBm | -35 dBm | fbf_1
 2631 MHz |  440 | -67 dBm | -35 dBm | fbf_1
 2637 MHz |  408 | -67 dBm | -35 dBm | fbf_1
 2667 MHz |   96 | -67 dBm | -35 dBm | fbf_1
 2676 MHz |   10 | -67 dBm | -35 dBm | fbf_1
 2685 MHz |  190 | -67 dBm | -35 dBm | fbf_1
 2700 MHz |  120 | -67 dBm | -35 dBm | fbf_1
 2715 MHz |  313 | -67 dBm | -35 dBm | fbf_1
 2721 MHz |   57 | -67 dBm | -35 dBm | fbf_1
 2730 MHz |  379 | -67 dBm | -35 dBm | fbf_1
 2736 MHz |  421 | -67 dBm | -35 dBm | fbf_1
 2739 MHz |  444 | -67 dBm | -35 dBm | fbf_1
 2745 MHz |  333 | -67 dBm | -35 dBm | fbf_1
 2748 MHz |  105 | -67 dBm | -35 dBm | fbf_1
 2781 MHz |  268 | -67 dBm | -35 dBm | fbf_1
 2790 MHz |   80 | -67 dBm | -35 dBm | fbf_1
 2796 MHz |   17 | -67 dBm | -35 dBm | fbf_1
 2808 MHz |  256 | -67 dBm | -35 dBm | fbf_1
 2835 MHz |  176 | -67 dBm | -35 dBm | fbf_1
 2838 MHz |   16 | -67 dBm | -35 dBm | fbf_1
 2841 MHz |  338 | -67 dBm | -35 dBm | fbf_1
 2856 MHz |  176 | -67 dBm | -35 dBm | fbf_1
 2859 MHz |  385 | -67 dBm | -35 dBm | fbf_1
 2874 MHz |  421 | -67 dBm | -35 dBm | fbf_1
 2877 MHz |  261 | -67 dBm | -35 dBm | fbf_1
 2910 MHz |  461 | -67 dBm | -35 dBm | fbf_1
 2922 MHz |  357 | -67 dBm | -35 dBm | fbf_1
 2931 MHz |  111 | -67 dBm | -35 dBm | fbf_1
 2943 MHz |  433 | -67 dBm | -35 dBm | fbf_1
 2952 MHz |  314 | -67 dBm | -35 dBm | fbf_1
 2970 MHz |   72 | -67 dBm | -35 dBm | fbf_1
 2997 MHz |  119 | -67 dBm | -35 dBm | fbf_1
 3350 MHz |   45 | -67 dBm | -30 dBm | fbf_1
 3375 MHz |   54 | -67 dBm | -30 dBm | fbf_1
 3550 MHz |    8 | -67 dBm | -30 dBm | fbf_1
 3650 MHz |   21 | -67 dBm | -30 dBm | fbf_1
 3800 MHz |  223 | -67 dBm | -30 dBm | fbf_1
 3950 MHz |  374 | -67 dBm | -30 dBm | fbf_1
 4175 MHz |  313 | -67 dBm | -30 dBm | fbf_1
 4200 MHz |  216 | -67 dBm | -30 dBm | fbf_1
 4275 MHz |  240 | -67 dBm | -30 dBm | fbf_1
 4400 MHz |  211 | -67 dBm | -30 dBm | fbf_1
 4525 MHz |  405 | -67 dBm | -30 dBm | fbf_1
 4575 MHz |  167 | -67 dBm | -30 dBm | fbf_1
 4600 MHz |  273 | -67 dBm | -30 dBm | fbf_1
 4675 MHz |  400 | -67 dBm | -30 dBm | fbf_1
 4775 MHz |  381 | -67 dBm | -30 dBm | fbf_1
 4900 MHz |   59 | -67 dBm | -30 dBm | fbf_1
 5050 MHz |   59 | -67 dBm | -30 dBm | fbf_1
 5175 MHz |  181 | -67 dBm | -30 dBm | fbf_1
 5225 MHz |  383 | -67 dBm | -30 dBm | fbf_1
 5250 MHz |  182 | -67 dBm | -30 dBm | fbf_1
 5325 MHz |  416 | -67 dBm | -30 dBm | fbf_1
 5400 MHz |  258 | -67 dBm | -30 dBm | fbf_1
 5475 MHz |  309 | -67 dBm | -30 dBm | fbf_1
 5575 MHz |  457 | -67 dBm | -30 dBm | fbf_1
 5600 MHz |  355 | -67 dBm | -30 dBm | fbf_1
 5675 MHz |  316 | -67 dBm | -30 dBm | fbf_1
 5700 MHz |  148 | -67 dBm | -30 dBm | fbf_1
 5725 MHz |  346 | -67 dBm | -30 dBm | fbf_1
 5775 MHz |  152 | -67 dBm | -30 dBm | fbf_1
 6025 MHz |  107 | -67 dBm | -30 dBm | fbf_1
 6050 MHz |  127 | -67 dBm | -30 dBm | fbf_1
 6100 MHz |  394 | -67 dBm | -30 dBm | fbf_1
 6225 MHz |   28 | -67 dBm | -30 dBm | fbf_1
 6275 MHz |  308 | -67 dBm | -30 dBm | fbf_1
 6425 MHz |  314 | -67 dBm | -30 dBm | fbf_1
 6450 MHz |   98 | -67 dBm | -30 dBm | fbf_1
 6475 MHz |  396 | -67 dBm | -30 dBm | fbf_1
 6525 MHz |  457 | -67 dBm | -30 dBm | fbf_1
 6700 MHz |  135 | -67 dBm | -30 dBm | fbf_1
 6750 MHz |  398 | -67 dBm | -30 dBm | fbf_1
 6800 MHz |  199 | -67 dBm | -30 dBm | fbf_1
 6925 MHz |    8 | -67 dBm | -30 dBm | fbf_1
 7000 MHz |   61 | -67 dBm | -30 dBm | fbf_1
 7325 MHz |  188 | -67 dBm | -30 dBm | fbf_1
 7425 MHz |  295 | -67 dBm | -30 dBm | fbf_1
 7575 MHz |  343 | -67 dBm | -30 dBm | fbf_1
 7850 MHz |   35 | -67 dBm | -30 dBm | fbf_1
 8250 MHz |  280 | -67 dBm | -30 dBm | fbf_1
 8275 MHz |   26 | -67 dBm | -30 dBm | fbf_1
 8450 MHz |  324 | -67 dBm | -30 dBm | fbf_1
 8975 MHz |  394 | -67 dBm | -30 dBm | fbf_1
 9250 MHz |  153 | -67 dBm | -30 dBm | fbf_1
 9300 MHz |   57 | -67 dBm | -30 dBm | fbf_1
 9325 MHz |  216 | -67 dBm | -30 dBm | fbf_1
 9600 MHz |   60 | -67 dBm | -30 dBm | fbf_1
 9675 MHz |  453 | -67 dBm | -30 dBm | fbf_1
10200 MHz |   46 | -67 dBm | -30 dBm | fbf_1
10325 MHz |  325 | -67 dBm | -30 dBm | fbf_1
10475 MHz |  368 | -67 dBm | -30 dBm | fbf_1
10525 MHz |  170 | -67 dBm | -30 dBm | fbf_1
10600 MHz |  174 | -67 dBm | -30 dBm | fbf_1
10675 MHz |   12 | -67 dBm | -30 dBm | fbf_1
10850 MHz |  365 | -67 dBm | -30 dBm | fbf_1
10900 MHz |  320 | -67 dBm | -30 dBm | fbf_1
11125 MHz |  433 | -67 dBm | -30 dBm | fbf_1
11275 MHz |  225 | -67 dBm | -30 dBm | fbf_1
11375 MHz |  308 | -67 dBm | -30 dBm | fbf_1
11525 MHz |   63 | -67 dBm | -30 dBm | fbf_1
11550 MHz |   49 | -67 dBm | -30 dBm | fbf_1
11750 MHz |   87 | -67 dBm | -30 dBm | fbf_1
11775 MHz |  298 | -67 dBm | -30 dBm | fbf_1
11800 MHz |  427 | -67 dBm | -30 dBm | fbf_1
11875 MHz |   88 | -67 dBm | -30 dBm | fbf_1
12075 MHz |  242 | -67 dBm | -30 dBm | fbf_1
12100 MHz |  126 | -67 dBm | -30 dBm | fbf_1
12225 MHz |   57 | -67 dBm | -30 dBm | fbf_1
12425 MHz |  312 | -67 dBm | -30 dBm | fbf_1
12450 MHz |  453 | -67 dBm | -30 dBm | fbf_1
12500 MHz |  330 | -67 dBm | -30 dBm | fbf_1
12525 MHz |  459 | -67 dBm | -30 dBm | fbf_1
12575 MHz |   58 | -67 dBm | -30 dBm | fbf_1
12675 MHz |  162 | -67 dBm | -30 dBm | fbf_1
12725 MHz |  151 | -67 dBm | -30 dBm | fbf_1
12750 MHz |  411 | -67 dBm | -30 dBm | fbf_1


*** All Results ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
   30 MHz |  886 | -67 dBm | -30 dBm | Pass
   40 MHz | 1149 | -67 dBm | -30 dBm | Pass
   50 MHz |  143 | -67 dBm | -30 dBm | fbf_2
   60 MHz |   59 | -67 dBm | -30 dBm | fbf_1
   70 MHz |  712 | -67 dBm | -30 dBm | Pass
   80 MHz |  864 | -67 dBm | -30 dBm | Pass
   90 MHz |  352 | -67 dBm | -30 dBm | fbf_1
  100 MHz | 1395 | -67 dBm | -30 dBm | Pass
  110 MHz |  124 | -67 dBm | -30 dBm | fbf_1
  120 MHz |  735 | -67 dBm | -30 dBm | Pass
  130 MHz |  385 | -67 dBm | -30 dBm | fbf_1
  140 MHz |  540 | -67 dBm | -30 dBm | Pass
  150 MHz |  285 | -67 dBm | -30 dBm | fbf_2
  160 MHz |   73 | -67 dBm | -30 dBm | fbf_2
  170 MHz | 1087 | -67 dBm | -30 dBm | Pass
  180 MHz | 1197 | -67 dBm | -30 dBm | Pass
  190 MHz | 1256 | -67 dBm | -30 dBm | Pass
  200 MHz | 1142 | -67 dBm | -30 dBm | Pass
  210 MHz |  880 | -67 dBm | -30 dBm | Pass
  220 MHz | 1083 | -67 dBm | -30 dBm | Pass
  230 MHz |  601 | -67 dBm | -30 dBm | Pass
  240 MHz | 1070 | -67 dBm | -30 dBm | Pass
  250 MHz |  247 | -67 dBm | -30 dBm | fbf_1
  260 MHz |  595 | -67 dBm | -30 dBm | Pass
  270 MHz |  556 | -67 dBm | -30 dBm | Pass
  280 MHz | 1242 | -67 dBm | -30 dBm | Pass
  290 MHz |  594 | -67 dBm | -30 dBm | Pass
  300 MHz | 1406 | -67 dBm | -30 dBm | Pass
  310 MHz |  360 | -67 dBm | -30 dBm | fbf_2
  320 MHz |  225 | -67 dBm | -30 dBm | fbf_2
  330 MHz |  872 | -67 dBm | -30 dBm | Pass
  340 MHz | 1396 | -67 dBm | -30 dBm | Pass
  350 MHz | 1172 | -67 dBm | -30 dBm | Pass
  360 MHz | 1365 | -67 dBm | -30 dBm | Pass
  370 MHz | 1118 | -67 dBm | -30 dBm | Pass
  380 MHz |  781 | -67 dBm | -30 dBm | Pass
  390 MHz | 1243 | -67 dBm | -30 dBm | Pass
  400 MHz |   67 | -67 dBm | -30 dBm | fbf_1
  410 MHz |  234 | -67 dBm | -30 dBm | fbf_1
  420 MHz |  452 | -67 dBm | -30 dBm | fbf_1
  430 MHz |  269 | -67 dBm | -30 dBm | fbf_1
  440 MHz |  782 | -67 dBm | -30 dBm | Pass
  450 MHz | 1185 | -67 dBm | -30 dBm | Pass
  460 MHz |   29 | -67 dBm | -30 dBm | fbf_1
  470 MHz |  865 | -67 dBm | -30 dBm | Pass
  480 MHz |  308 | -67 dBm | -30 dBm | fbf_1
  490 MHz |  360 | -67 dBm | -30 dBm | fbf_1
  500 MHz | 1127 | -67 dBm | -30 dBm | Pass
  510 MHz |  137 | -67 dBm | -30 dBm | fbf_2
  520 MHz |  730 | -67 dBm | -30 dBm | Pass
  530 MHz |  184 | -67 dBm | -30 dBm | fbf_1
  540 MHz |  821 | -67 dBm | -30 dBm | Pass
  550 MHz |  361 | -67 dBm | -30 dBm | fbf_1
  560 MHz | 1030 | -67 dBm | -30 dBm | Pass
  570 MHz | 1260 | -67 dBm | -30 dBm | Pass
  580 MHz |  614 | -67 dBm | -30 dBm | Pass
  590 MHz |  722 | -67 dBm | -30 dBm | Pass
  600 MHz |  519 | -67 dBm | -30 dBm | Pass
  610 MHz |  949 | -67 dBm | -30 dBm | Pass
  620 MHz | 1486 | -67 dBm | -30 dBm | Pass
  630 MHz |  610 | -67 dBm | -30 dBm | Pass
  640 MHz |  915 | -67 dBm | -30 dBm | Pass
  650 MHz |  848 | -67 dBm | -30 dBm | Pass
  660 MHz |   75 | -67 dBm | -30 dBm | fbf_1
  670 MHz | 1353 | -67 dBm | -30 dBm | Pass
  680 MHz |  643 | -67 dBm | -30 dBm | Pass
  690 MHz |   19 | -67 dBm | -30 dBm | fbf_1
  700 MHz | 1190 | -67 dBm | -30 dBm | Pass
  710 MHz |    7 | -67 dBm | -30 dBm | fbf_2
  720 MHz |  378 | -67 dBm | -30 dBm | fbf_1
  730 MHz | 1180 | -67 dBm | -30 dBm | Pass
  740 MHz |  841 | -67 dBm | -30 dBm | Pass
  750 MHz | 1425 | -67 dBm | -30 dBm | Pass
  760 MHz | 1333 | -67 dBm | -30 dBm | Pass
  770 MHz |  235 | -67 dBm | -30 dBm | fbf_1
  780 MHz | 1112 | -67 dBm | -30 dBm | Pass
  790 MHz |   93 | -67 dBm | -30 dBm | fbf_1
  800 MHz |  939 | -67 dBm | -30 dBm | Pass
  810 MHz | 1470 | -67 dBm | -30 dBm | Pass
  820 MHz | 1389 | -67 dBm | -30 dBm | Pass
  830 MHz |  880 | -67 dBm | -30 dBm | Pass
  840 MHz |  526 | -67 dBm | -30 dBm | Pass
  850 MHz | 1384 | -67 dBm | -30 dBm | Pass
  860 MHz | 1052 | -67 dBm | -30 dBm | Pass
  870 MHz |  285 | -67 dBm | -30 dBm | fbf_2
  880 MHz |   72 | -67 dBm | -30 dBm | fbf_1
  890 MHz | 1292 | -67 dBm | -30 dBm | Pass
  900 MHz |  269 | -67 dBm | -30 dBm | fbf_1
  910 MHz | 1286 | -67 dBm | -30 dBm | Pass
  920 MHz |  469 | -67 dBm | -30 dBm | Pass
  930 MHz | 1123 | -67 dBm | -30 dBm | Pass
  940 MHz | 1149 | -67 dBm | -30 dBm | Pass
  950 MHz | 1259 | -67 dBm | -30 dBm | Pass
  960 MHz | 1268 | -67 dBm | -30 dBm | Pass
  970 MHz | 1102 | -67 dBm | -30 dBm | Pass
  980 MHz |  820 | -67 dBm | -30 dBm | Pass
  990 MHz |  274 | -67 dBm | -30 dBm | fbf_1
 1000 MHz | 1344 | -67 dBm | -30 dBm | Pass
 1010 MHz |  753 | -67 dBm | -30 dBm | Pass
 1020 MHz |   99 | -67 dBm | -30 dBm | fbf_1
 1030 MHz | 1407 | -67 dBm | -30 dBm | Pass
 1040 MHz | 1021 | -67 dBm | -30 dBm | Pass
 1050 MHz |  947 | -67 dBm | -30 dBm | Pass
 1060 MHz |  943 | -67 dBm | -30 dBm | Pass
 1070 MHz |  998 | -67 dBm | -30 dBm | Pass
 1080 MHz |  222 | -67 dBm | -30 dBm | fbf_2
 1090 MHz |  120 | -67 dBm | -30 dBm | fbf_1
 1100 MHz | 1211 | -67 dBm | -30 dBm | Pass
 1110 MHz | 1025 | -67 dBm | -30 dBm | Pass
 1120 MHz |  645 | -67 dBm | -30 dBm | Pass
 1130 MHz |  785 | -67 dBm | -30 dBm | Pass
 1140 MHz | 1178 | -67 dBm | -30 dBm | Pass
 1150 MHz | 1018 | -67 dBm | -30 dBm | Pass
 1160 MHz |  717 | -67 dBm | -30 dBm | Pass
 1170 MHz |  862 | -67 dBm | -30 dBm | Pass
 1180 MHz |  464 | -67 dBm | -30 dBm | Pass
 1190 MHz | 1250 | -67 dBm | -30 dBm | Pass
 1200 MHz |   82 | -67 dBm | -30 dBm | fbf_2
 1210 MHz |  604 | -67 dBm | -30 dBm | Pass
 1220 MHz | 1368 | -67 dBm | -30 dBm | Pass
 1230 MHz | 1125 | -67 dBm | -30 dBm | Pass
 1240 MHz |  891 | -67 dBm | -30 dBm | Pass
 1250 MHz |  891 | -67 dBm | -30 dBm | Pass
 1260 MHz | 1000 | -67 dBm | -30 dBm | Pass
 1270 MHz |  311 | -67 dBm | -30 dBm | fbf_1
 1280 MHz |  267 | -67 dBm | -30 dBm | fbf_2
 1290 MHz |  331 | -67 dBm | -30 dBm | fbf_1
 1300 MHz | 1012 | -67 dBm | -30 dBm | Pass
 1310 MHz |  634 | -67 dBm | -30 dBm | Pass
 1320 MHz |  223 | -67 dBm | -30 dBm | fbf_2
 1330 MHz |   82 | -67 dBm | -30 dBm | fbf_1
 1340 MHz | 1475 | -67 dBm | -30 dBm | Pass
 1350 MHz |  262 | -67 dBm | -30 dBm | fbf_2
 1360 MHz | 1481 | -67 dBm | -30 dBm | Pass
 1370 MHz | 1033 | -67 dBm | -30 dBm | Pass
 1380 MHz | 1288 | -67 dBm | -30 dBm | Pass
 1390 MHz | 1056 | -67 dBm | -30 dBm | Pass
 1400 MHz | 1459 | -67 dBm | -30 dBm | Pass
 1410 MHz |  471 | -67 dBm | -30 dBm | Pass
 1420 MHz |  502 | -67 dBm | -30 dBm | Pass
 1430 MHz | 1252 | -67 dBm | -30 dBm | Pass
 1440 MHz | 1288 | -67 dBm | -30 dBm | Pass
 1450 MHz | 1372 | -67 dBm | -30 dBm | Pass
 1460 MHz |   43 | -67 dBm | -30 dBm | fbf_1
 1470 MHz |  776 | -67 dBm | -30 dBm | Pass
 1480 MHz | 1037 | -67 dBm | -30 dBm | Pass
 1490 MHz |  740 | -67 dBm | -30 dBm | Pass
 1500 MHz | 1401 | -67 dBm | -30 dBm | Pass
 1510 MHz | 1264 | -67 dBm | -30 dBm | Pass
 1520 MHz |  254 | -67 dBm | -30 dBm | fbf_1
 1530 MHz |  753 | -67 dBm | -30 dBm | Pass
 1540 MHz |  765 | -67 dBm | -30 dBm | Pass
 1550 MHz | 1128 | -67 dBm | -30 dBm | Pass
 1560 MHz |  653 | -67 dBm | -30 dBm | Pass
 1570 MHz | 1417 | -67 dBm | -30 dBm | Pass
 1580 MHz | 1169 | -67 dBm | -30 dBm | Pass
 1590 MHz |   83 | -67 dBm | -30 dBm | fbf_1
 1600 MHz |   81 | -67 dBm | -30 dBm | fbf_2
 1610 MHz | 1123 | -67 dBm | -30 dBm | Pass
 1620 MHz | 1285 | -67 dBm | -30 dBm | Pass
 1630 MHz |  591 | -67 dBm | -30 dBm | Pass
 1640 MHz | 1234 | -67 dBm | -30 dBm | Pass
 1650 MHz |   70 | -67 dBm | -30 dBm | fbf_1
 1660 MHz |   64 | -67 dBm | -30 dBm | fbf_2
 1670 MHz | 1477 | -67 dBm | -30 dBm | Pass
 1680 MHz |  637 | -67 dBm | -30 dBm | Pass
