*** Failures ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
  520 MHz | 1500 | -67 dBm | -30 dBm | Pass
  530 MHz | 1500 | -67 dBm | -30 dBm | Pass
  540 MHz | 1500 | -67 dBm | -30 dBm | Pass
  550 MHz | 1500 | -67 dBm | -30 dBm | Pass
  560 MHz | 1500 | -67 dBm | -30 dBm | Pass
  570 MHz | 1500 | -67 dBm | -30 dBm | Pass
  580 MHz | 1500 | -67 dBm | -30 dBm | Pass
  590 MHz | 1500 | -67 dBm | -30 dBm | Pass
  600 MHz | 1500 | -67 dBm | -30 dBm | Pass
  610 MHz | 1500 | -67 dBm | -30 dBm | Pass
  620 MHz | 1500 | -67 dBm | -30 dBm | Pass
  630 MHz | 1500 | -67 dBm | -30 dBm | Pass
  640 MHz | 1500 | -67 dBm | -30 dBm | Pass
  650 MHz | 1500 | -67 dBm | -30 dBm | Pass
  660 MHz | 1500 | -67 dBm | -30 dBm | Pass
  670 MHz | 1500 | -67 dBm | -30 dBm | Pass
  680 MHz | 1500 | -67 dBm | -30 dBm | Pass
  690 MHz | 1500 | -67 dBm | -30 dBm | Pass
  700 MHz | 1500 | -67 dBm | -30 dBm | Pass
  710 MHz | 1500 | -67 dBm | -30 dBm | Pass
  720 MHz | 1500 | -67 dBm | -30 dBm | Pass
  730 MHz | 1500 | -67 dBm | -30 dBm | Pass
  740 MHz | 1500 | -67 dBm | -30 dBm | Pass
  750 MHz | 1500 | -67 dBm | -30 dBm | Pass
  760 MHz | 1500 | -67 dBm | -30 dBm | Pass
  770 MHz | 1500 | -67 dBm | -30 dBm | Pass
  780 MHz | 1500 | -67 dBm | -30 dBm | Pass
  790 MHz | 1500 | -67 dBm | -30 dBm | Pass
  800 MHz | 1500 | -67 dBm | -30 dBm | Pass
  810 MHz | 1500 | -67 dBm | -30 dBm | Pass
  820 MHz | 1500 | -67 dBm | -30 dBm | Pass
  830 MHz | 1500 | -67 dBm | -30 dBm | Pass
  840 MHz | 1500 | -67 dBm | -30 dBm | Pass
  850 MHz | 1500 | -67 dBm | -30 dBm | Pass
  860 MHz | 1500 | -67 dBm | -30 dBm | Pass
  870 MHz | 1500 | -67 dBm | -30 dBm | Pass
  880 MHz | 1500 | -67 dBm | -30 dBm | Pass
  890 MHz | 1500 | -67 dBm | -30 dBm | Pass
  900 MHz | 1500 | -67 dBm | -30 dBm | Pass
  910 MHz | 1500 | -67 dBm | -30 dBm | Pass
  920 MHz | 1500 | -67 dBm | -30 dBm | Pass
  930 MHz | 1500 | -67 dBm | -30 dBm | Pass
  940 MHz | 1500 | -67 dBm | -30 dBm | Pass
  950 MHz | 1500 | -67 dBm | -30 dBm | Pass
  960 MHz | 1500 | -67 dBm | -30 dBm | Pass
  970 MHz | 1500 | -67 dBm | -30 dBm | Pass
  980 MHz | 1500 | -67 dBm | -30 dBm | Pass
  990 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1000 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1010 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1020 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1030 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1040 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1050 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1060 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1070 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1080 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1090 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1100 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1110 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1120 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1130 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1140 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1150 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1160 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1170 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1180 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1190 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1200 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1210 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1220 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1230 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1240 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1250 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1260 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1270 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1280 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1290 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1300 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1310 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1320 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1330 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1340 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1350 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1360 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1370 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1380 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1390 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1400 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1410 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1420 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1430 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1440 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1450 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1460 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1470 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1480 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1490 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1500 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1510 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1520 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1530 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1540 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1550 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1560 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1570 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1580 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1590 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1600 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1610 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1620 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1630 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1640 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1650 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1660 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1670 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1680 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1690 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1700 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1710 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1720 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1730 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1740 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1750 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1760 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1770 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1780 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1790 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1800 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1810 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1820 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1830 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1840 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1850 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1860 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1870 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1880 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1890 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1900 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1910 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1920 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1930 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1940 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1950 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1960 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1970 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1980 MHz | 1500 | -67 dBm | -30 dBm | Pass
 1990 MHz | 1500 | -67 dBm | -30 dBm | Pass
 2000 MHz | 1500 | -67 dBm | -30 dBm | Pass
 2003 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2006 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2009 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2012 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2015 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2018 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2021 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2024 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2027 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2030 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2033 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2036 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2039 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2042 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2045 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2048 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2051 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2054 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2057 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2060 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2063 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2066 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2069 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2072 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2075 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2078 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2081 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2084 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2087 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2090 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2093 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2096 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2099 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2102 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2105 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2108 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2111 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2114 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2117 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2120 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2123 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2126 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2129 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2132 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2135 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2138 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2141 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2144 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2147 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2150 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2153 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2156 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2159 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2162 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2165 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2168 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2171 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2174 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2177 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2180 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2183 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2186 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2189 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2192 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2195 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2198 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2201 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2204 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2207 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2210 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2213 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2216 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2219 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2222 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2225 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2228 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2231 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2234 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2237 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2240 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2243 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2246 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2249 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2252 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2255 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2258 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2261 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2264 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2267 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2270 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2273 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2276 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2279 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2282 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2285 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2288 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2291 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2294 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2297 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2300 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2303 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2306 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2309 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2312 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2315 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2318 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2321 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2324 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2327 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2330 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2333 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2336 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2339 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2342 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2345 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2348 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2351 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2354 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2357 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2360 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2363 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2366 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2369 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2372 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2375 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2378 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2381 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2384 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2387 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2390 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2393 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2396 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2399 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2484 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2487 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2490 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2493 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2496 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2499 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2502 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2505 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2508 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2511 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2514 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2517 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2520 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2523 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2526 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2529 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2532 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2535 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2538 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2541 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2544 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2547 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2550 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2553 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2556 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2559 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2562 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2565 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2568 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2571 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2574 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2577 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2580 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2583 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2586 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2589 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2592 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2595 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2598 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2601 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2604 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2607 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2610 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2613 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2616 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2619 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2622 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2625 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2628 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2631 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2634 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2637 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2640 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2643 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2646 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2649 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2652 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2655 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2658 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2661 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2664 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2667 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2670 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2673 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2676 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2679 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2682 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2685 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2688 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2691 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2694 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2697 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2700 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2703 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2706 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2709 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2712 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2715 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2718 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2721 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2724 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2727 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2730 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2733 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2736 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2739 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2742 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2745 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2748 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2751 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2754 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2757 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2760 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2763 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2766 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2769 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2772 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2775 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2778 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2781 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2784 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2787 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2790 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2793 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2796 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2799 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2802 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2805 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2808 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2811 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2814 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2817 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2820 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2823 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2826 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2829 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2832 MHz | 1500 | -67 dBm | -35 dBm | Pass
 2835 MHz | 1500 | -67 dBm | -35 dBm | Pass
